N,sentence,labels
22,"Por  otro  lado,  hemos  ejecutado  ciento  cincuenta  intervenciones  en  saneamiento, trescientos  cincuenta  intervenciones  en  pistas  y  veredas,  ocho  puentes  y  400 kilómetros de carretera; así como intervención en ciento noventa locales educativos, que  ya  se  encuentran  listos  para  que  niños  y  niñas  del  país  puedan  estudiar  en mejores condiciones.",1
23,"Para  ello,  estamos trabajando  sobre  políticas  que  mejoran  la  competitividad  y  la  productividad  de nuestra economía, con una visión de mediano y largo plazo.",0
24,Este gobierno entiende que esta tarea es imprescindible e impostergable.,0
25,"Las  colas,  los  trámites  engorrosos  y  los  tiempos  de  demora  han  quedado  en  el pasado.",1
26,"Ahora,  haré  referencia  a  las  variables  económicas  y  a  nuestro  trabajo  para dinamizar la economía del país.",0
27,"Digitalización   La  tecnología  está  cambiando  nuestra  forma  de  vivir,  de  comunicarnos,  de desenvolvernos en la sociedad, de atender los retos sociales y, sin duda, también está cambiando nuestra forma de hacer política pública y de prestar los servicios a los  ciudadanos.",0
28,En  el  transcurso  del siguiente año titularemos los primeros doscientos mil predios.,1
29,El acceso a agua potable y a un sistema de alcantarillado eficiente es un derecho fundamental.,0
30,"Asimismo, en esta ley también se ha propuesto que las farmacias y boticas privadas tengan  la  obligación  de  ofrecer  al  público  medicamentos  genéricos  de  calidad.",1
31,"La implementación de este registro ha sido largamente postergada en nuestro país, a pesar de las recomendaciones formuladas en los foros internacionales de la administración pública.",0
32,"Hoy, gracias al apoyo y aporte de todos los que han puesto el hombro por el Perú, estamos disfrutando de este gran evento.",1
33,"En  ese  objetivo,  este  año  2019 culminaremos 1,000 nuevas instituciones educativas, de las cuales 300 escuelas ya están culminadas beneficiando a los alumnos de 24 regiones, con una inversión de más de S/ 1,200 millones.",1
34,Se  ha coordinado con la CAF para garantizar el respaldo financiero necesario.,0
35,Este hospital beneficiará a más de 400 mil ciudadanos.,1
36,El Estado ha llegado a La Pampa para quedarse.,1
37,Le mostramos al país un camino viable para superar esta crisis que no nos  permite  avanzar  y  estamos  cambiando  de  paradigma  para  devolverle  a  los peruanos la dignidad y confianza que muchos han perdido.,1
38,"Con la intención de que estas iniciativas sean asumidas con la mayor celeridad, en  abril  de  este  año  el  Poder  Ejecutivo  presentó  a  este  Parlamento  doce proyectos de ley para su debate y aprobación; y ante la inacción del Congreso, se  solicitó  una  cuestión  de  confianza  sobre  seis  de  los  doce  proyectos propuestos inicialmente.",0
39,"Respecto al agricultor andino, largamente olvidado y postergado, hemos iniciado un ambicioso  programa  de  sembrío  de  pastos  mejorados  en  quinientos  diecisiete distritos de veintidós departamentos del país, para llegar al Bicentenario, al 2021, con medio millón de hectáreas sembradas de pastos mejorados, complementado con un programa de cochas, siembra y cosecha de aguas para dar sostenibilidad a este proceso.",1
40,"A pesar de las críticas y el lento avance, creemos que estamos camino a mejorar el sistema de administración de justicia.",1
41,Es  la  democracia  y  la  fe  de  los  peruanos  que  se  vienen  imponiendo  frente  a  los privilegios y los compadrazgos.,1
42,"Quiero en esta parte hacer un reconocimiento especial al ex ministro de Defensa, José Huerta, un peruano ejemplar que le dedicó hasta el último minuto de su vida al  país.",1
43,Se ha promovido la protección contra el hostigamiento sexual.,0
44,"Vamos a pasar, en cinco años, de 13% a 70% de pavimento en esta importante red integradora,  disminuyendo  ostensiblemente infraestructura  y constituyendo una revolución para el transporte en las regiones del país.",1
45,"No queremos frenar el crecimiento del país, ni frenar  la  inversión,  ni  quebrar  la  confianza  de  los  peruanos  una  vez  más.",1
46,Es  nuestro  debe  velar  por  la  conservación  del  lago  Titicaca.,0
47,"Este  año  hemos  realizado  una  inversión  histórica  de  S/  260  millones  en  la  lucha contra la violencia de género, asignando recursos para acciones específicas a cargo de los ministerios, gobiernos regionales y locales, Ministerio Público, Poder Judicial y  Defensoría  del  Pueblo,  cifra  nunca  antes  destinada  para  la  lucha  contra  la violencia hacia las mujeres.",1
48,"Asimismo, a fin de brindar la atención oportuna a los proyectos de reconstrucción, se  han  desconcentrado  y  fortalecido  todas  las  oficinas  en  los  diferentes departamentos.",1
49,"Estas evasivas fueron las que alteraron nuestro proyecto sobre bicameralidad, desnaturalizándolo y perdiendo así la oportunidad de regresar a un Parlamento de dos cámaras.",0
50,"En primer lugar, es necesario promover la diversificación productiva.",0
51,Esta no podrá seguir  operando.,0
52,"Gracias a la colaboración entre la Policía Nacional, el Ministerio Público, el Poder Judicial y la Defensa Pública del Estado se ha inaugurado el primer “Módulo Básico de  Seguridad”,  espacio  donde  se  podrá  sentenciar  en  menos  de  48  horas  a  los delincuentes que sean capturados en flagrancia.",1
53,"Por favor, señores congresistas.",0
54,Se  contará  con  mayor  independencia  y  autonomía  para  investigar  y sancionar las faltas disciplinarias de jueces y fiscales gracias a la Autoridad Nacional de Integridad y Control en el Ministerio Público.,1
55,"Como nos comprometimos el 28 de julio del 2018, venimos trabajando en la mejora de  los  desembarcaderos  pesqueros  artesanales.",1
56,"En  la  misma  línea,  expedimos  el  Decreto  Legislativo  1415  que  estableció  un nuevo marco normativo y operativo para el registro de la gestión de intereses (más conocidos como lobbies).",0
57,"Sin  embargo,  para nuestro  país  proyectamos  un  crecimiento de la economía de 3.",1
58,El señor PRESIDENTE DEL CONGRESO DE LA REPÚBLICA (Pedro Olaechea Álvarez Calderón).,0
59,"Por  eso,  continuamos  en  el esfuerzo de reducir la brecha en infraestructura educativa.",1
60,Al  mes  de  julio  ya  hemos  llegado  al  hogar  novecientos cuarenta y tres mil.,1
61,"Los peruanos con su voto lograron incorporar en la  Constitución la regulación sobre  el  financiamiento  de  las  organizaciones  políticas,  la  prohibición  de  la reelección  inmediata  de  congresistas  de  la  República  y  se  aprobó  la  reforma constitucional  sobre  la  conformación  y  funciones  de  la  Junta  Nacional  de Justicia.",0
62,"Por ello, anuncio el Proyecto de Infraestructura de la Red Vial Departamental, que incluye  quince  mil  kilómetros  de  pavimento,  uniendo  cuarenta  y  dos  corredores logísticos,  con  una  inversión  que  supera  los  20,000  millones  de  soles.",1
63,"Esta  crisis  generalizada  ha  mancillado  al  país  cuestionando  la  idoneidad  e integridad  de  nuestras  autoridades,  debilitando  las  instituciones  jurídicas.",0
64,Impulsaremos  la  Beca  “Mi  Vocación  Técnica”  para  atender  a  instituciones educativas focalizadas por mayor deserción y mayor violencia local (Barrio Seguro).,0
65,"A mediano plazo se implementarán cuatro sistemas de alerta temprana a nivel nacional: ante tsunamis, ante sismos de gran magnitud en el litoral, ante lluvias intensas y ante actividad volcánica.",0
66,"En las últimas tres décadas se ha construido una planta de tratamiento por año, en nuestra  gestión  el  ritmo  de  construcción  se  ha  multiplicado  por  diez  y  vamos  a incrementarlo aún más, lo que demuestra la importancia que tiene esta tarea para nuestro gobierno.",1
67,"A julio de este año se han financiado 12,500 millones de soles, que corresponden a más de 5,900 intervenciones.",0
68,"Gracias al Plan Multisectorial ante Heladas y Friaje, estamos haciéndole frente a las consecuencias que genera el descenso de las temperaturas en las zonas altoandinas y en la Amazonía.",1
69,"Imaginen lo que hubiese pasado si hacíamos caso a los predicadores del ""no se puede"".",1
70,"Así, lo que antes le costaba a cada joven aproximadamente S/ 100 soles, hoy día no les cuesta nada.",1
71,"Sin embargo, donde hay un enorme retraso es en la Red Vial Departamental, que solo tiene el 13% de pavimento de los veintisiete mil quinientos kilómetros que la conforman.",0
72,"Por otro lado, durante el año 2018 se han destinado 450 millones de soles para el pago de sentencias judiciales debidamente priorizadas, asignándose para el sector Educación 200 millones de soles y para los otros sectores 250 millones para el pago de la deuda social.",0
73,En  2018  el  Perú  se  posicionó  como una  de  las  economías  con  la  mayor  tasa de expansión de la región al crecer 4%.,1
74,Todas estas fueron reformas necesarias para seguir avanzando en los cambios que necesitamos.,1
75,"Potenciaremos la educación superior tecnológica, enfatizando su articulación con el desarrollo productivo.",1
76,"De esa manera, se superó la meta prevista y se triplicó la cantidad de trabajadores formalizados en el 2018.",1
77,"El  turismo  generará, en el 2019, un millón  y  medio  de  empleos directos e indirectos.",0
78,"Queridos peruanos y peruanas, entre todos estamos escribiendo la historia del país  y  es  anhelo  de  mi  gobierno  fortalecer  las  instituciones  del  Estado, convencidos  que  no  existe  un  verdadero  crecimiento  económico  ni  una transformación social sin una reforma de las instituciones.",1
79,Recientemente hemos entregado en el departamento de Tacna un moderno desembarcadero pesquero artesanal en Morro Sama.,0
80,"Al pronunciar este mensaje desde la sede del Congreso, no puedo dejar de recordar ante  todos  los  peruanos  las  circunstancias  en  que  asumimos  la  conducción  del gobierno:  una  grave  crisis  política  y  un  escenario  de  zozobra  institucional  que habían trastocado las bases del Estado y fastidiado a nuestros ciudadanos.",0
81,"En  el  presente  año  estamos  pavimentando  más  de  mil  doscientos  kilómetros  de carreteras, con una inversión que supera los 3,400 millones de soles en doce obras, como parte de la Red Vial Nacional, que tiene el 80% de pavimento, de sus veintiséis mil  ochocientos  kilómetros  que  la  conforman.",0
82,"En  el  primer  trimestre  del  año  2019  hemos  asignado  recursos  a  los  pliegos  del Gobierno Nacional, gobiernos regionales y gobiernos locales por un monto de 2,800 millones de soles, asegurando la continuidad en la ejecución de obras pendientes.",0
83,Implementamos campañas para garantizar el cumplimiento de la neutralidad por parte de los servidores públicos en procesos electorales.,1
84,La recaudación consolidó su recuperación al alcanzar la presión tributaria el 14.,1
85,"Asimismo,  más  de  200  mil  docentes  de  educación  básica  de  inicial,  primaria  y secundaria,  de  ámbitos  rurales  y  urbanos,  recibirán  formación  para  mejorar  su desempeño con una inversión superior a los 267 millones de soles.",1
86,"¿Cuáles fueron los resultados? A la fecha, el Pleno del Congreso aprobó los seis proyectos de ley.",1
87,En lo que va de mi gobierno hemos construido cincuenta mil viviendas rurales para los damnificados del norte y los que sufren  de  heladas  en  el  sur.,0
88,Estamos  implementando  progresivamente  las  redes  integradas  en  salud.,0
89,"Las grandes decisiones  de este gobierno  se  toman  con  la  ciudadanía,  escuchando  a  cada  peruano  para  que pueda expresarse y así definir juntos el futuro de nuestro país y nuestro legado a las próximas generaciones.",1
90,En el primer trimestre hemos iniciado la emisión virtual del Certificado Único Laboral (CERTIJOVEN).,0
91,"El proyecto de Ley que modifica la Ley Orgánica del Ministerio Público y la creación  del  sistema  de  fiscales  especializados  en  delitos  contra  la Administración  Pública,  corrupción  de  funcionarios,  lavado  de  activos  y delitos conexos; y  -  El proyecto de Ley de probidad en el ejercicio de la abogacía.",0
92,Estas  medidas  incluyen  desde  regulaciones sectoriales hasta propuestas de ley que se han enviado a este Congreso.,0
93,Ya hemos puesto a disposición de los peruanos el nuevo servicio de “Certificado de Antecedentes  Policiales  Digital”.,0
94,"Este año el Proyecto Especial de Control y Reducción de Cultivos Ilegales en el Alto Huallaga (CORAH), iniciará las acciones de erradicación del cultivo ilegal de hojas de  coca  en  la  zona  del  VRAEM.",0
95,Para América Latina también se redujo su proyección de crecimiento a tan solo 0.,0
96,En cinco años  el  programa  que  diseñamos  cubrirá  el  70%  de  la  Red  Vial  Departamental.,0
97,"Siempre  fuimos  conscientes  de  que  era,  y  es,  un desafío  complejo  conducir  al  Perú  desde  la crisis  que  atraviesa  hacia  una nueva etapa  de  crecimiento  sostenido  y  estabilidad  institucional,  la  que  conduce  este camino de fortalecimiento de la República.",1
98,No queremos padres irresponsables trabajando en el Estado.,1
99,"Pasamos de ser testigos de los audios de la vergüenza, a ser los protagonistas de una lucha que no da tregua, que incluye nuevas evidencias que  comprometen  a  nuevos  grandes  proyectos  en  el  caso  Odebretch,  como Chavimochic y Gasoducto Sur Peruano.",1
100,"Del mismo modo, en solo seis meses ya hemos realizado 35 operativos policiales que han permitido la captura de peligrosos delincuentes.",1
